,NomeParlamentar,Trecho,origem,destino,origem_latitude,origem_longitude,origem_nome,destino_latitude,destino_longitude,destino_nome
57,Vander Loubet,"['BSB', 'CGR']",BSB,BSB,-15.869167,-47.920834,BR-DF Brasília,-20.469998,-54.673988,BR-MS Campo Grande
58,Vander Loubet,"['BSB', 'CGR']",BSB,BSB,-15.869167,-47.920834,BR-DF Brasília,-20.469998,-54.673988,BR-MS Campo Grande
59,Vander Loubet,"['CGR', 'BSB']",CGR,CGR,-20.469998,-54.673988,BR-MS Campo Grande,-15.869167,-47.920834,BR-DF Brasília
60,Vander Loubet,"['BSB', 'CGR']",BSB,BSB,-15.869167,-47.920834,BR-DF Brasília,-20.469998,-54.673988,BR-MS Campo Grande
61,Vander Loubet,"['CGR', 'BSB']",CGR,CGR,-20.469998,-54.673988,BR-MS Campo Grande,-15.869167,-47.920834,BR-DF Brasília
62,Vander Loubet,"['BSB', 'CGR']",BSB,BSB,-15.869167,-47.920834,BR-DF Brasília,-20.469998,-54.673988,BR-MS Campo Grande
63,Vander Loubet,"['CGR', 'BSB']",CGR,CGR,-20.469998,-54.673988,BR-MS Campo Grande,-15.869167,-47.920834,BR-DF Brasília
64,Vander Loubet,"['BSB', 'CGR']",BSB,BSB,-15.869167,-47.920834,BR-DF Brasília,-20.469998,-54.673988,BR-MS Campo Grande
65,Vander Loubet,"['CGR', 'BSB']",CGR,CGR,-20.469998,-54.673988,BR-MS Campo Grande,-15.869167,-47.920834,BR-DF Brasília
66,Vander Loubet,"['BSB', 'CGR']",BSB,BSB,-15.869167,-47.920834,BR-DF Brasília,-20.469998,-54.673988,BR-MS Campo Grande
67,Vander Loubet,"['BSB', 'CGR']",BSB,BSB,-15.869167,-47.920834,BR-DF Brasília,-20.469998,-54.673988,BR-MS Campo Grande
68,Vander Loubet,"['CGR', 'BSB']",CGR,CGR,-20.469998,-54.673988,BR-MS Campo Grande,-15.869167,-47.920834,BR-DF Brasília
69,Vander Loubet,"['BSB', 'CGR']",BSB,BSB,-15.869167,-47.920834,BR-DF Brasília,-20.469998,-54.673988,BR-MS Campo Grande
70,Vander Loubet,"['BSB', 'CGH']",BSB,BSB,-15.869167,-47.920834,BR-DF Brasília,-23.62611,-46.656387,BR-SP São Paulo
71,Vander Loubet,"['CGH', 'CGR']",CGH,CGH,-23.62611,-46.656387,BR-SP São Paulo,-20.469998,-54.673988,BR-MS Campo Grande
72,Vander Loubet,"['BSB', 'CGH']",BSB,BSB,-15.869167,-47.920834,BR-DF Brasília,-23.62611,-46.656387,BR-SP São Paulo
73,Vander Loubet,"['BSB', 'CGR']",BSB,BSB,-15.869167,-47.920834,BR-DF Brasília,-20.469998,-54.673988,BR-MS Campo Grande
74,Vander Loubet,"['CGR', 'CGH']",CGR,CGR,-20.469998,-54.673988,BR-MS Campo Grande,-23.62611,-46.656387,BR-SP São Paulo
75,Vander Loubet,"['CGH', 'BSB']",CGH,CGH,-23.62611,-46.656387,BR-SP São Paulo,-15.869167,-47.920834,BR-DF Brasília
76,Vander Loubet,"['CGR', 'BSB']",CGR,CGR,-20.469998,-54.673988,BR-MS Campo Grande,-15.869167,-47.920834,BR-DF Brasília
77,Vander Loubet,"['BSB', 'CGR']",BSB,BSB,-15.869167,-47.920834,BR-DF Brasília,-20.469998,-54.673988,BR-MS Campo Grande
78,Vander Loubet,"['CGR', 'BSB']",CGR,CGR,-20.469998,-54.673988,BR-MS Campo Grande,-15.869167,-47.920834,BR-DF Brasília
79,Vander Loubet,"['BSB', 'CGR']",BSB,BSB,-15.869167,-47.920834,BR-DF Brasília,-20.469998,-54.673988,BR-MS Campo Grande
80,Vander Loubet,"['CGR', 'BSB']",CGR,CGR,-20.469998,-54.673988,BR-MS Campo Grande,-15.869167,-47.920834,BR-DF Brasília
81,Vander Loubet,"['BSB', 'CGR']",BSB,BSB,-15.869167,-47.920834,BR-DF Brasília,-20.469998,-54.673988,BR-MS Campo Grande
82,Vander Loubet,"['CGR', 'BSB']",CGR,CGR,-20.469998,-54.673988,BR-MS Campo Grande,-15.869167,-47.920834,BR-DF Brasília
83,Vander Loubet,"['BSB', 'CGR']",BSB,BSB,-15.869167,-47.920834,BR-DF Brasília,-20.469998,-54.673988,BR-MS Campo Grande
84,Vander Loubet,"['CGR', 'BSB']",CGR,CGR,-20.469998,-54.673988,BR-MS Campo Grande,-15.869167,-47.920834,BR-DF Brasília
85,Vander Loubet,"['BSB', 'CGR']",BSB,BSB,-15.869167,-47.920834,BR-DF Brasília,-20.469998,-54.673988,BR-MS Campo Grande
